ID	Chromosome	Start_position	End_Position	A1_CN	A2_CN
LiverTum_6	1	911428	16477846	2	2
LiverTum_6	1	16496131	16941834	3	1
LiverTum_6	1	16954508	86009930	2	2
LiverTum_6	1	86010242	86019515	3	2
LiverTum_6	1	86021792	158088319	2	2
LiverTum_6	1	158090139	158100101	3	2
LiverTum_6	1	158144298	171227474	2	2
LiverTum_6	1	171231230	171239527	3	2
LiverTum_6	1	171243507	234778110	2	2
LiverTum_6	1	234778129	234779417	3	1
LiverTum_6	1	234820595	248877988	2	2
LiverTum_6	2	30906	41613816	2	2
LiverTum_6	2	41704275	41803922	3	2
LiverTum_6	2	41811734	174748872	2	2
LiverTum_6	2	174750631	174879860	3	2
LiverTum_6	2	174887396	242038992	2	2
LiverTum_6	3	20631	75721604	2	2
LiverTum_6	3	75723526	75744105	3	1
LiverTum_6	3	75745416	77288798	2	2
LiverTum_6	3	77355102	77355183	3	1
LiverTum_6	3	77459684	162979863	2	2
LiverTum_6	3	162980160	162988285	3	2
LiverTum_6	3	162990190	195691442	2	2
LiverTum_6	3	195701655	195749118	3	1
LiverTum_6	3	195750920	198115487	2	2
LiverTum_6	4	192200	150296490	2	2
LiverTum_6	4	150300834	150438170	2	0
LiverTum_6	4	150442926	189877318	2	2
LiverTum_6	5	90084	181163507	2	2
LiverTum_6	6	162703	379528	2	2
LiverTum_6	6	379834	382246	3	1
LiverTum_6	6	382537	1269811	2	2
LiverTum_6	6	1270438	1277480	3	2
LiverTum_6	6	1281579	21337552	2	2
LiverTum_6	6	21478960	23093131	2	0
LiverTum_6	6	23151299	29233873	2	2
LiverTum_6	6	29261369	32216797	2	0
LiverTum_6	6	32218370	32219860	2	1
LiverTum_6	6	32220606	32338642	2	2
LiverTum_6	6	32340688	32369909	2	0
LiverTum_6	6	32370506	32372063	4	0
LiverTum_6	6	32373095	32472051	2	2
LiverTum_6	6	32472395	32472690	4	0
LiverTum_6	6	32474380	44167358	2	2
LiverTum_6	6	44170285	44177061	3	2
LiverTum_6	6	44186588	46347313	2	2
LiverTum_6	6	46361667	46478620	2	0
LiverTum_6	6	46482593	46498928	2	1
LiverTum_6	6	46500137	47689290	2	0
LiverTum_6	6	47690891	55189954	2	2
LiverTum_6	6	55190100	55191379	1	1
LiverTum_6	6	55192155	57430393	2	0
LiverTum_6	6	63602467	81739153	2	2
LiverTum_6	6	81743814	81747430	3	0
LiverTum_6	6	81751226	91273115	2	0
LiverTum_6	6	91283057	125189776	2	2
LiverTum_6	6	125192414	125198993	2	1
LiverTum_6	6	125200775	125456842	2	0
LiverTum_6	6	125460877	125698592	2	2
LiverTum_6	6	125710536	125737430	2	0
LiverTum_6	6	125748556	125796095	2	2
LiverTum_6	6	125822535	125827981	2	1
LiverTum_6	6	125831338	157883051	2	0
LiverTum_6	6	157977970	158072669	3	0
LiverTum_6	6	158142045	160096449	2	0
LiverTum_6	6	160102139	160109594	3	0
LiverTum_6	6	160110411	165298340	2	0
LiverTum_6	6	165310070	165319146	1	0
LiverTum_6	6	165321163	170603415	2	0
LiverTum_6	7	50257	8899875	2	2
LiverTum_6	7	8900862	8909174	2	1
LiverTum_6	7	8910400	152384765	2	2
LiverTum_6	7	152402142	152410058	3	1
LiverTum_6	7	152437207	159326530	2	2
LiverTum_6	8	330241	16086798	4	2
LiverTum_6	8	16092262	16098153	3	2
LiverTum_6	8	16100106	145068028	4	2
LiverTum_6	9	212557	967981	2	0
LiverTum_6	9	971066	977556	1	0
LiverTum_6	9	991114	11419828	2	0
LiverTum_6	9	11421758	11448773	0	0
LiverTum_6	9	11450611	11459410	2	0
LiverTum_6	9	11460456	11469190	1	0
LiverTum_6	9	11474608	12539495	0	0
LiverTum_6	9	12668557	21659915	2	0
LiverTum_6	9	21660144	21669887	1	0
LiverTum_6	9	21670462	21948667	0	0
LiverTum_6	9	22201037	35705762	2	0
LiverTum_6	9	35884014	35884109	1	1
LiverTum_6	9	35892116	91629464	2	0
LiverTum_6	9	91630707	91633321	1	0
LiverTum_6	9	91645835	112003120	2	0
LiverTum_6	9	112012311	112049284	3	0
LiverTum_6	9	112050931	129414460	2	0
LiverTum_6	9	129428184	129438116	2	1
LiverTum_6	9	129503049	138123517	2	0
LiverTum_6	10	87333	110816801	2	2
LiverTum_6	10	110821122	110918899	3	2
LiverTum_6	10	110926565	133619587	2	2
LiverTum_6	11	202856	18920301	2	2
LiverTum_6	11	18923837	18942276	3	1
LiverTum_6	11	18945045	129709117	2	2
LiverTum_6	11	129720800	129729825	3	2
LiverTum_6	11	129730161	134478027	2	2
LiverTum_6	11	134478862	134851142	3	1
LiverTum_6	11	134856831	135068576	2	2
LiverTum_6	12	52216	31037997	2	2
LiverTum_6	12	31203959	31254096	3	1
LiverTum_6	12	31299816	133202210	2	2
LiverTum_6	13	19918880	63051001	2	2
LiverTum_6	13	63051138	63068874	2	1
LiverTum_6	13	63070231	114339973	2	2
LiverTum_6	14	19791777	19956147	3	1
LiverTum_6	14	19956892	72432980	2	2
LiverTum_6	14	72441394	72458839	2	0
LiverTum_6	14	72460489	72699644	2	2
LiverTum_6	14	72700136	72700136	1	1
LiverTum_6	14	72704273	106878059	2	0
LiverTum_6	15	22228433	101607602	2	2
LiverTum_6	16	45254	22615471	2	2
LiverTum_6	16	22626894	22697934	3	1
LiverTum_6	16	22703259	90074947	2	2
LiverTum_6	17	184485	7666871	2	0
LiverTum_6	17	7768729	7817913	0	0
LiverTum_6	17	7903211	15443060	2	0
LiverTum_6	17	15665794	36111165	2	2
LiverTum_6	17	36111300	36143854	3	1
LiverTum_6	17	36492592	83090856	2	2
LiverTum_6	18	132649	14112432	2	0
LiverTum_6	18	22500997	80249901	2	2
LiverTum_6	19	260912	58578425	2	2
LiverTum_6	20	83158	64279990	2	2
LiverTum_6	21	14034348	46669379	2	2
LiverTum_6	22	19001039	50724710	2	2
LiverTum_6	X	2782116	155699751	2	2
